Unnamed: 0,instruction,input,output,id,generated_text,model_response,cleaned_response,relevance_score,cc_score,syntax_score,complete_score,hallucination_type,is_repeat,expected_out_word_count,actual_out_word_count,rouge1,rouge2,rougeL,bleu
0,"दिइएको क्यारेक्टर, सेटिङ र विषयवस्तु प्रयोग गरेर कथा उत्पन्न गर्नुहोस्।","पात्रहरू: जासूस, वैज्ञानिक
सेटिङ: परित्याग गरिएको कारखाना
विषय: रहस्य","जासूस र वैज्ञानिकलाई एक रहस्यमय बेपत्ताको अनुसन्धान गर्न परित्याग गरिएको कारखानामा पठाइएको थियो। उनीहरूलाई भनिएको थियो कि कोही भित्र गएको थियो तर कहिल्यै बाहिर निस्किएको देखिएन। तिनीहरूले कारखानाको अन्वेषण गर्दा, तिनीहरूले अनौठो सुरागहरू पत्ता लगाउन थाले जसले सुझाव दिन्छ कि केहि अनौठो भइरहेको छ। तिनीहरूले चाँडै कारखानाको गहिराइमा एउटा गोप्य प्रयोगशाला पत्ता लगाए, अनौठो र विदेशी मेसिनहरूले भरिएको। यो स्पष्ट भयो कि केहि भयावह भइरहेको थियो र जासूस र वैज्ञानिकले रहस्यमय बेपत्ताको पछाडिको सत्यता उजागर गर्न सुरागहरू सँगै जोड्न थाले।",6916,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
दिइएको क्यारेक्टर, सेटिङ र विषयवस्तु प्रयोग गरेर कथा उत्पन्न गर्नुहोस्।

### Input:
पात्रहरू: जासूस, वैज्ञानिक
सेटिङ: परित्याग गरिएको कारखाना
विषय: रहस्य

### Response:
जासूस र वैज्ञानिक एक परित्याग गरिएको कारखानामा गहिरो गए। तिनीहरूले तुरुन्तै देखे कि कारखाना विदेशी प्रजातिको रहस्यमय संस्कृति द्वारा कब्जा गरिएको थियो। तिनीहरूले चाँडै पत्ता लगाए कि कारखाना विदेशी प्रजातिको रहस्यमय संस्कृति द्वारा कब्जा गरिएको थियो। तिनीहरूले कारखाना बाहिरको बाटो फेला पार्नुपर्छ र आफ्नो जीवन बचाउनु पर्छ।<|end_of_text|>",जासूस र वैज्ञानिक एक परित्याग गरिएको कारखानामा गहिरो गए। तिनीहरूले तुरुन्तै देखे कि कारखाना विदेशी प्रजातिको रहस्यमय संस्कृति द्वारा कब्जा गरिएको थियो। तिनीहरूले चाँडै पत्ता लगाए कि कारखाना विदेशी प्रजातिको रहस्यमय संस्कृति द्वारा कब्जा गरिएको थियो। तिनीहरूले कारखाना बाहिरको बाटो फेला पार्नुपर्छ र आफ्नो जीवन बचाउनु पर्छ।,जासूस र वैज्ञानिक एक परित्याग गरिएको कारखानामा गहिरो गए। तिनीहरूले तुरुन्तै देखे कि कारखाना विदेशी प्रजातिको रहस्यमय संस्कृति द्वारा कब्जा गरिएको थियो। तिनीहरूले चाँडै पत्ता लगाए कि कारखाना विदेशी प्रजातिको रहस्यमय संस्कृति द्वारा कब्जा गरिएको थियो। तिनीहरूले कारखाना बाहिरको बाटो फेला पार्नुपर्छ र आफ्नो जीवन बचाउनु पर्छ।<|end_of_text|>,5,4,6,3,,Yes,80,47,0.0,0.0,0.0,0.02499724120200217
1,जलवायु परिवर्तनले मानिस र वातावरणमा पार्ने ५ प्रभावहरूको सूची बनाउनुहोस्।,,"1. आकस्मिक मृत्यु: गर्मी छाल, बाढी र अन्य जलवायु सम्बन्धी प्रकोपहरूले आकस्मिक मृत्यु निम्त्याउन सक्छ।
2. रोगको फैलावट: उच्च तापक्रम र आर्द्रता संग भेक्टर-जनित रोगहरूको फैलावट बढ्ने अपेक्षा गरिन्छ।
3. खाद्य असुरक्षा: जलवायु परिवर्तनले कृषि उत्पादनमा बाधा पुर्‍याउन सक्छ र खाद्य असुरक्षा निम्त्याउन सक्छ।
4. पानीको तनाव: वर्षाको ढाँचामा परिवर्तन, हिउँ र ग्लेशियरहरू पग्लिँदा पानीको तनाव हुन सक्छ।
5. चरम मौसम घटनाहरू: जलवायु परिवर्तनले भारी वर्षा, खडेरी र गर्मीको लहरहरू सहित चरम मौसमी घटनाहरूको तीव्रता र आवृत्ति बढाउन सक्छ।",36299,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
जलवायु परिवर्तनले मानिस र वातावरणमा पार्ने ५ प्रभावहरूको सूची बनाउनुहोस्।

### Input:


### Response:
1. जलवायु परिवर्तनले मानव स्वास्थ्य र खाद्यान्नको उपलब्धतामा प्रत्यक्ष र अप्रत्यक्ष रूपमा नकारात्मक प्रभाव पार्छ।
2. यसले समुद्री सतहमा वृद्धि, बाढी र तटीय क्षति निम्त्याउँछ।
3. यसले बासस्थान र प्रजातिहरूको विस्थापन निम्त्याउँछ।
4. यसले प्राकृतिक प्रकोपको आवृत्ति र तीव्रतामा वृद्धि गर्छ।
5. यसले विश्वव्यापी अर्थतन्त्र र विश्वव्यापी वित्तीय प्रणालीलाई असर गर्छ।<|end_of_text|>","1. जलवायु परिवर्तनले मानव स्वास्थ्य र खाद्यान्नको उपलब्धतामा प्रत्यक्ष र अप्रत्यक्ष रूपमा नकारात्मक प्रभाव पार्छ।
2. यसले समुद्री सतहमा वृद्धि, बाढी र तटीय क्षति निम्त्याउँछ।
3. यसले बासस्थान र प्रजातिहरूको विस्थापन निम्त्याउँछ।
4. यसले प्राकृतिक प्रकोपको आवृत्ति र तीव्रतामा वृद्धि गर्छ।
5. यसले विश्वव्यापी अर्थतन्त्र र विश्वव्यापी वित्तीय प्रणालीलाई असर गर्छ।","1. जलवायु परिवर्तनले मानव स्वास्थ्य र खाद्यान्नको उपलब्धतामा प्रत्यक्ष र अप्रत्यक्ष रूपमा नकारात्मक प्रभाव पार्छ।
2. यसले समुद्री सतहमा वृद्धि, बाढी र तटीय क्षति निम्त्याउँछ।
3. यसले बासस्थान र प्रजातिहरूको विस्थापन निम्त्याउँछ।
4. यसले प्राकृतिक प्रकोपको आवृत्ति र तीव्रतामा वृद्धि गर्छ।
5. यसले विश्वव्यापी अर्थतन्त्र र विश्वव्यापी वित्तीय प्रणालीलाई असर गर्छ।<|end_of_text|>",9,9,9,9,,No,79,51,0.7692307692307693,0.7272727272727273,0.7692307692307693,0.0144008915221755
2,उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्,,प्रदर्शनको पावरहाउस।,18066,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

### Input:


### Response:
एक उच्च प्रदर्शन इन्जिनलाई सामान्यतया शक्तिशाली र कुशल भनेर वर्णन गरिन्छ।<|end_of_text|>",एक उच्च प्रदर्शन इन्जिनलाई सामान्यतया शक्तिशाली र कुशल भनेर वर्णन गरिन्छ।,एक उच्च प्रदर्शन इन्जिनलाई सामान्यतया शक्तिशाली र कुशल भनेर वर्णन गरिन्छ।<|end_of_text|>,8,8,8,6,,No,2,11,0.0,0.0,0.0,0.0
3,तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो ?,,"जलवायु परिवर्तनको प्रमुख कारण जीवाश्म इन्धन जलाउनु र हरितगृह ग्यासहरू उत्पादन गर्ने अन्य मानव गतिविधिहरू जस्तै वन विनाश र कृषि अभ्यासहरू हुन्। यी गतिविधिहरूले कार्बन डाइअक्साइड र अन्य ग्याँसहरूको उत्सर्जनमा परिणाम दिन्छ जसले वायुमण्डलमा तातो जालमा पार्छ र हरितगृह प्रभाव निम्त्याउँछ, परिणामस्वरूप पृथ्वीको तापक्रम बढ्छ।",3011,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?

### Input:


### Response:
मलाई विश्वास छ कि जलवायु परिवर्तनको प्रमुख कारण मानव गतिविधिहरू हुन्, जस्तै जीवाश्म इन्धन जलाउने र वन फँडानी।<|end_of_text|>","मलाई विश्वास छ कि जलवायु परिवर्तनको प्रमुख कारण मानव गतिविधिहरू हुन्, जस्तै जीवाश्म इन्धन जलाउने र वन फँडानी।","मलाई विश्वास छ कि जलवायु परिवर्तनको प्रमुख कारण मानव गतिविधिहरू हुन्, जस्तै जीवाश्म इन्धन जलाउने र वन फँडानी।<|end_of_text|>",9,8,9,8,,No,45,18,0.0,0.0,0.0,0.04389583163062936
4,गणितका ५ वटा शाखाको नाम दिनुहोस्।,,"- बीजगणित
- ज्यामिति
- क्याल्कुलस
- संख्या सिद्धान्त
- अलग गणित",1520,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
गणितका ५ वटा शाखाको नाम दिनुहोस्।

### Input:


### Response:
गणितका पाँच शाखाहरू संख्यात्मक गणित, ज्यामिति, क्याल्कुलस, तर्क र सांख्यिकी हुन्।<|end_of_text|>","गणितका पाँच शाखाहरू संख्यात्मक गणित, ज्यामिति, क्याल्कुलस, तर्क र सांख्यिकी हुन्।","गणितका पाँच शाखाहरू संख्यात्मक गणित, ज्यामिति, क्याल्कुलस, तर्क र सांख्यिकी हुन्।<|end_of_text|>",8,9,10,8,,No,12,11,0.0,0.0,0.0,0.0
5,एउटै लेख पढ्ने दुई फरक व्यक्तिको प्रतिक्रिया तुलना गर्नुहोस्।,"अक्टोबर १०, २०१९ मा प्रकाशित एउटा लेख ""महिलाहरू कर्पोरेट बोर्डहरूमा बहुमतको नजिक जान्छ"" शीर्षकमा","व्यक्ति A कर्पोरेट बोर्डहरूमा थप महिलाहरू नियुक्त भइरहेका देख्दा खुसी छन्, किनकि यसले लैङ्गिक असमानता कम गर्न र निगमहरूको सफलतामा योगदान गर्ने महिलाहरूको क्षमतालाई पहिचान गर्न मद्दत गर्नेछ। व्यक्ति बी चिन्तित छ कि कर्पोरेट बोर्डहरूमा महिलाहरूको बढ्दो उपस्थितिले पुरुषहरूलाई नियुक्ति पाउन गाह्रो बनाउनेछ र यसरी उल्टो दिशामा लैङ्गिक असमानता बढ्नेछ। व्यक्ति A र B दुबै सहमत छन्, तथापि, कर्पोरेट बोर्डहरूमा थप विविधता सकारात्मक परिणाम हो।",48988,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
एउटै लेख पढ्ने दुई फरक व्यक्तिको प्रतिक्रिया तुलना गर्नुहोस्।

### Input:
अक्टोबर १०, २०१९ मा प्रकाशित एउटा लेख ""महिलाहरू कर्पोरेट बोर्डहरूमा बहुमतको नजिक जान्छ"" शीर्षकमा

### Response:
दुई फरक व्यक्तिहरूले एउटै लेख पढ्दा फरक-फरक प्रतिक्रियाहरू हुन सक्छन्। उदाहरणका लागि, एक व्यक्तिले लेखलाई उनीहरूको दृष्टिकोणसँग सम्बन्धित भएको हुन सक्छ, जबकि अर्कोले लेखमा थप स्थायी दृष्टिकोण लिन सक्छ। यो पनि सम्भव छ कि दुई व्यक्तिहरूले समान विचारहरू साझा गर्न सक्छन् तर फरक-फरक तरिकामा व्यक्त गर्न सक्छन्।<|end_of_text|>","दुई फरक व्यक्तिहरूले एउटै लेख पढ्दा फरक-फरक प्रतिक्रियाहरू हुन सक्छन्। उदाहरणका लागि, एक व्यक्तिले लेखलाई उनीहरूको दृष्टिकोणसँग सम्बन्धित भएको हुन सक्छ, जबकि अर्कोले लेखमा थप स्थायी दृष्टिकोण लिन सक्छ। यो पनि सम्भव छ कि दुई व्यक्तिहरूले समान विचारहरू साझा गर्न सक्छन् तर फरक-फरक तरिकामा व्यक्त गर्न सक्छन्।","दुई फरक व्यक्तिहरूले एउटै लेख पढ्दा फरक-फरक प्रतिक्रियाहरू हुन सक्छन्। उदाहरणका लागि, एक व्यक्तिले लेखलाई उनीहरूको दृष्टिकोणसँग सम्बन्धित भएको हुन सक्छ, जबकि अर्कोले लेखमा थप स्थायी दृष्टिकोण लिन सक्छ। यो पनि सम्भव छ कि दुई व्यक्तिहरूले समान विचारहरू साझा गर्न सक्छन् तर फरक-फरक तरिकामा व्यक्त गर्न सक्छन्।<|end_of_text|>",3,4,6,3,,No,65,47,0.0,0.0,0.0,0.01169547663215113
6,आवधिक तालिकाका कुन तत्वहरू मेटालोइडहरू हुन्?,,"आवधिक तालिकामा बोरोन, सिलिकन, जर्मेनियम, आर्सेनिक, एन्टिमोनी र टेलुरियम हुन्।",34693,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
आवधिक तालिकाका कुन तत्वहरू मेटालोइडहरू हुन्?

### Input:


### Response:
आवधिक तालिकाका सबै तत्वहरू मेटालोइड हुन्, केही अपवादहरू जस्तै हेलियम, नियोन र अक्सिजन सहित।<|end_of_text|>","आवधिक तालिकाका सबै तत्वहरू मेटालोइड हुन्, केही अपवादहरू जस्तै हेलियम, नियोन र अक्सिजन सहित।","आवधिक तालिकाका सबै तत्वहरू मेटालोइड हुन्, केही अपवादहरू जस्तै हेलियम, नियोन र अक्सिजन सहित।<|end_of_text|>",1,2,3,1,factual,No,10,14,0.0,0.0,0.0,0.020912708837155788
7,जर्ज नाम गरेको कसैको लागि एक अद्वितीय उपनाम उत्पन्न गर्नुहोस्,,Geo-Gepopo वा G-Whiz,1877,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
जर्ज नाम गरेको कसैको लागि एक अद्वितीय उपनाम उत्पन्न गर्नुहोस्

### Input:


### Response:
जर्ज द ग्रेट।<|end_of_text|>",जर्ज द ग्रेट।,जर्ज द ग्रेट।<|end_of_text|>,5,7,9,6,,No,3,3,0.0,0.0,0.0,0.0
8,अंग्रेजीमा हाइकु कविता लेख्नुहोस्।,,"हरियाली हरिया पहाड
सूर्यको किरणले कोमल पहाडहरू छुन्छ
यहाँ शान्ति पाउन सकिन्छ।",35221,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
अंग्रेजीमा हाइकु कविता लेख्नुहोस्।

### Input:


### Response:
बादलहरू चिसो हावामा बग्छन्
जमिनमा सुन्तला र पहेंलो
आकाशमा नीलो आकाश<|end_of_text|>","बादलहरू चिसो हावामा बग्छन्
जमिनमा सुन्तला र पहेंलो
आकाशमा नीलो आकाश","बादलहरू चिसो हावामा बग्छन्
जमिनमा सुन्तला र पहेंलो
आकाशमा नीलो आकाश<|end_of_text|>",8,6,7,7,,No,12,11,0.0,0.0,0.0,0.0
9,पासवर्ड रिसेट गर्ने बारे ग्राहक र प्राविधिक समर्थन प्रतिनिधि बीचको कुराकानी उत्पन्न गर्नुहोस्।,ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।,"ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।

प्राविधिक समर्थन प्रतिनिधि: कुनै समस्या छैन! तपाईले आफ्नो खातामा लगइन गर्न प्रयोग गर्ने इमेल ठेगाना के हो?

ग्राहक: यो example@example.com हो

प्राविधिक समर्थन प्रतिनिधि: महान। कृपया मलाई एक क्षण दिनुहोस् जब म तपाईंको खाता हेर्छु ताकि म पासवर्ड रिसेट गर्न सकूँ।

[प्राविधिक समर्थन खाता खोजी, पासवर्ड रिसेट]

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, मैले तपाईंको खाताको लागि तपाईंको पासवर्ड रिसेट गर्न सक्षम भएँ। तपाईंको नयाँ पासवर्ड [संशोधन गरिएको] छ। कृपया आफ्नो खातामा लगइन गर्न यो पासवर्ड प्रयोग गर्नुहोस्। तपाईंसँग अरू कुनै प्रश्नहरू छन्?

ग्राहक: होइन, त्यो हो। तपाईंको मद्दतको लागि धन्यवाद।

प्राविधिक समर्थन प्रतिनिधि: तपाईलाई स्वागत छ! तपाईको दिन राम्रोसँग आराम गर्नुहोस्।",41713,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
पासवर्ड रिसेट गर्ने बारे ग्राहक र प्राविधिक समर्थन प्रतिनिधि बीचको कुराकानी उत्पन्न गर्नुहोस्।

### Input:
ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।

### Response:
प्राविधिक समर्थन प्रतिनिधि: कुनै समस्या छैन, म तपाईंलाई त्यसमा मद्दत गर्न सक्छु। के तपाइँ तपाइँको पासवर्ड रिसेट गर्न को लागी तपाइँको इमेल ठेगाना प्रदान गर्न सक्नुहुन्छ?

ग्राहक: पक्का, मेरो इमेल ठेगाना [email@example.com] हो।

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, म तपाईंको इमेल ठेगानालाई हाम्रो प्रणालीमा जडान गर्न सक्छु र तपाईंको पासवर्ड रिसेट गर्ने प्रक्रिया सुरु गर्न सक्छु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, त्यो हो।

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, म तपाईंलाई त्यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तप","प्राविधिक समर्थन प्रतिनिधि: कुनै समस्या छैन, म तपाईंलाई त्यसमा मद्दत गर्न सक्छु। के तपाइँ तपाइँको पासवर्ड रिसेट गर्न को लागी तपाइँको इमेल ठेगाना प्रदान गर्न सक्नुहुन्छ?

ग्राहक: पक्का, मेरो इमेल ठेगाना [email@example.com] हो।

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, म तपाईंको इमेल ठेगानालाई हाम्रो प्रणालीमा जडान गर्न सक्छु र तपाईंको पासवर्ड रिसेट गर्ने प्रक्रिया सुरु गर्न सक्छु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, त्यो हो।

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, म तपाईंलाई त्यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तप","प्राविधिक समर्थन प्रतिनिधि: कुनै समस्या छैन, म तपाईंलाई त्यसमा मद्दत गर्न सक्छु। के तपाइँ तपाइँको पासवर्ड रिसेट गर्न को लागी तपाइँको इमेल ठेगाना प्रदान गर्न सक्नुहुन्छ?

ग्राहक: पक्का, मेरो इमेल ठेगाना [email@example.com] हो।

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, म तपाईंको इमेल ठेगानालाई हाम्रो प्रणालीमा जडान गर्न सक्छु र तपाईंको पासवर्ड रिसेट गर्ने प्रक्रिया सुरु गर्न सक्छु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, त्यो हो।

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, म तपाईंलाई त्यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तपाईंलाई कुनै प्रश्नहरू छन्?

ग्राहक: होइन, मैले यसलाई बुझें।

प्राविधिक समर्थन प्रतिनिधि: राम्रो छ, म तपाईंलाई यो प्रक्रियामा मार्गदर्शन गर्नेछु। के तप",3,2,3,2,nonsensical,Yes,109,267,0.6666666666666666,0.5,0.6666666666666666,0.07262694170914002
